l_id	m_id	hatch_date	collection_date	clutch_number	egg_papers
39	2	2023-12-27	2024-01-17	2	3
39	2	2024-01-24	2024-02-07	1	2
39	2	2024-01-24	2024-02-14	2	3
39	2	2024-02-21	2024-03-06	1	4
39	2	2024-02-21	2024-03-13	2	3
40	2	2024-01-10	2024-01-31	2	10
41	2	2023-12-27	2024-01-17	2	4
41	2	2024-01-31	2024-02-14	1	8
41	2	2024-02-14	2024-03-06	2	9
41	2	2024-02-28	2024-03-13	1	10
